name,description,asks_fee,label
StaffingStaffing Staffing,We are an IT staffing firm partnering with MNC clients. Official recruitment partner for mid-size software companies.,0,0
CashOffer Agency,Get selected instantly for high-paying job. Just pay registration fee. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
OverseasVisas Agency,Must pay consultancy fee and visa processing amount in advance. Simple work from mobile. Join now by paying account creation fee.,1,1
QuickJob Jobs,Activation fee must be paid immediately to unlock projects. Part-time copy paste work. First transfer processing fee.,1,1
PlacementSureShot Services,Simple work from mobile. Join now by paying account creation fee. Asks candidates to pay processing fee in cash before employer details.,1,1
AdvisoryBlue Staffing,Candidates are hired as full time employees with standard background checks. All openings are listed on our official website.,0,0
OverseasInstant Services,Demands non-refundable registration fee to reserve offer letter. Pay joining fee to access premium job list and HR contacts.,1,1
GlobalGlobal Partners,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
SilverCity HR,"We are paid by employers, not by job seekers. Selection process includes technical test and HR round.",0,0
VisionTrack Talent Search,"Specializes in leadership hiring; approaches candidates via LinkedIn and arranges meetings at client offices, never requesting deposits or registration amounts.",0,0
InstantQuick Agency,NO INTERVIEW required. Send joining fee on Google Pay. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
BluePartners Solutions,Provides project-based hiring for Java and .NET engineers. Works only on retained search basis.,0,0
SummitUrban HR,Consulting and training firm in data science. Selection process includes technical test and HR round.,0,0
DreamCash Services,Part-time copy paste work. First transfer processing fee. Demands non-refundable registration fee to reserve offer letter.,1,1
GuaranteedGuaranteed Services,Company charges for profile activation. Refund if not selected. 100% placement guarantee. Freshers must pay placement fee.,0,1
SureShotDream Agency,Simple work from mobile. Join now by paying account creation fee. Pay joining fee to access premium job list and HR contacts.,1,1
NextGenBlue Solutions,All communication happens from verified company email domains. All communication happens from verified company email domains.,0,0
PartnersCore Partners,All openings are listed on our official website. Official recruitment partner for mid-size software companies.,1,0
BrightTalent HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
MapleLeaf Global Talent,"Assists in placing experienced professionals in Europe and Canada. Visa documentation is handled by licensed immigration partners; MapleLeaf charges corporates, not applicants.",0,0
CityGlobal Solutions,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
PrimePrime Staffing,Selection process includes technical test and HR round. Selection process includes technical test and HR round.,1,0
PartnersTech Partners,Service charges are billed only to client companies. Recruitment for clients is free for job seekers.,0,0
TalentPartners Staffing,Official recruitment partner for mid-size software companies. We are an IT staffing firm partnering with MNC clients.,0,0
SummitTalent Partners,All openings are listed on our official website. Service charges are billed only to client companies.,0,0
StaffingSilver Solutions,Recruitment for clients is free for job seekers. Selection process includes technical test and HR round.,0,0
GlobalBlue Solutions,Official recruitment partner for mid-size software companies. All communication happens from verified company email domains.,0,0
SureShotInstant Services,We guarantee job in MNC without exams. Pay security deposit. One-time registration fee required before sharing interview location.,1,1
JobDream Services,Company charges for profile activation. Refund if not selected. One-time registration fee required before sharing interview location.,1,1
EasyGuaranteed Services,Must pay consultancy fee and visa processing amount in advance. Company charges for profile activation. Refund if not selected.,1,1
BrightGlobal Partners,We are an IT staffing firm partnering with MNC clients. Official recruitment partner for mid-size software companies.,0,0
TechAdvisory Solutions,Selection process includes technical test and HR round. Selection process includes technical test and HR round.,0,0
OakTree Talent Solutions,Boutique firm that works only on referral basis. Each candidate gets a written email describing the hiring process; consultants never ask for payments or personal UPI transfers.,0,0
FirstPay Jobs,Simple work from mobile. Join now by paying account creation fee. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
BrightGlobal Partners,All openings are listed on our official website. Recruitment for clients is free for job seekers.,0,0
